x,terminal_intensity,tail_intensity,marginal_pivotal_value
-6.0,0.0,4.125498279958376,0.0
-5.98,0.0,4.125498279958376,0.0
-5.96,0.0,4.125498279958376,0.0
-5.94,0.0,4.125498279958376,0.0
-5.92,0.0,4.125498279958376,0.0
-5.9,0.0,4.125498279958376,0.0
-5.88,0.0,4.125498279958376,0.0
-5.86,0.0,4.125498279958376,0.0
-5.84,0.0,4.125498279958376,0.0
-5.82,0.0,4.125498279958376,0.0
-5.8,0.0,4.125498279958376,0.0
-5.78,0.0,4.125498279958376,0.0
-5.76,0.0,4.125498279958376,0.0
-5.74,0.0,4.125498279958376,0.0
-5.72,0.0,4.125498279958376,0.0
-5.7,0.0,4.125498279958376,0.0
-5.68,0.0,4.125498279958376,0.0
-5.66,0.0,4.125498279958376,0.0
-5.64,0.0,4.125498279958376,0.0
-5.62,0.0,4.125498279958376,0.0
-5.6,0.0,4.125498279958376,0.0
-5.58,0.0,4.125498279958376,0.0
-5.56,0.0,4.125498279958376,0.0
-5.54,0.0,4.125498279958376,0.0
-5.52,0.0,4.125498279958376,0.0
-5.5,0.0,4.125498279958376,0.0
-5.48,0.0,4.125498279958376,0.0
-5.46,0.0,4.125498279958376,0.0
-5.4399999999999995,0.0,4.125498279958376,0.0
-5.42,0.0,4.125498279958376,0.0
-5.4,0.0,4.125498279958376,0.0
-5.38,0.0,4.125498279958376,0.0
-5.36,0.0,4.125498279958376,0.0
-5.34,0.0,4.125498279958376,0.0
-5.32,0.0,4.125498279958376,0.0
-5.3,0.0,4.125498279958376,0.0
-5.28,0.0,4.125498279958376,0.0
-5.26,0.0,4.125498279958376,0.0
-5.24,0.0,4.125498279958376,0.0
-5.22,0.0,4.125498279958376,0.0
-5.2,0.0,4.125498279958376,0.0
-5.18,0.0,4.125498279958376,0.0
-5.16,0.0,4.125498279958376,0.0
-5.14,0.0,4.125498279958376,0.0
-5.12,0.0,4.125498279958376,0.0
-5.1,0.0,4.125498279958376,0.0
-5.08,0.0,4.125498279958376,0.0
-5.06,0.0,4.125498279958376,0.0
-5.04,0.0,4.125498279958376,0.0
-5.02,0.0,4.125498279958376,0.0
-5.0,0.0,4.125498279958376,0.0
-4.98,0.0,4.125498279958376,0.0
-4.96,0.0,4.125498279958376,0.0
-4.9399999999999995,0.0,4.125498279958376,0.0
-4.92,0.0,4.125498279958376,0.0
-4.9,0.0,4.125498279958376,0.0
-4.88,0.0,4.125498279958376,0.0
