time,mass_before_decision,mass_kept
0.0,100.0,100.0
0.01,100.00000000000003,53.98278372770291
0.02,53.98278372770291,40.97883255709495
0.03,40.97883255709495,33.52439496277691
0.04,33.52439496277691,28.56890117987468
0.05,28.56890117987468,25.4808273007142
0.06,25.480827300714196,23.23934565332082
0.07,23.239345653320825,21.508170974728294
0.08,21.508170974728294,19.70755219878924
0.09,19.70755219878924,18.436547168655125
0.1,18.436547168655125,17.40626926400608
0.11,17.406269264006077,16.53976253097015
0.12,16.539762530970158,15.79495190059922
0.13,15.79495190059922,14.948924916171752
0.14,14.948924916171752,14.306208415780496
0.15,14.306208415780496,13.754552277035382
0.16,13.75455227703538,13.268184822880336
0.17,13.268184822880336,12.701296365629524
0.18,12.701296365629528,12.26004998333497
0.19,12.260049983334968,11.873403119375618
0.2,11.87340311937562,11.526242133517737
0.21,11.526242133517737,11.210653358845887
0.22,11.210653358845885,10.833076720790775
0.23,10.833076720790775,10.532337766166645
0.24,10.532337766166648,10.263727456739543
0.25,10.263727456739543,10.018481389102554
0.26,10.018481389102554,9.722960592621254
0.27,9.722960592621256,9.485685845179333
0.28,9.485685845179331,9.27214805423051
0.29,9.27214805423051,9.075779649450078
0.3,9.075779649450077,8.868694423406179
0.31,8.868694423406179,8.65909922581624
0.32,8.65909922581624,8.480860300816445
0.33,8.480860300816445,8.317604084637509
0.34,8.317604084637509,8.165690536567302
0.35000000000000003,8.165690536567302,7.979418571111298
0.36,7.979418571111298,7.82742015341034
0.37,7.8274201534103405,7.688690963971439
0.38,7.688690963971439,7.559474791012881
0.39,7.559474791012882,7.400647861268834
0.4,7.4006478612688325,7.270652051456091
0.41000000000000003,7.270652051456091,7.151643431819903
0.42,7.1516434318199025,7.0404616061510055
0.43,7.040461606151005,6.921427251846728
0.44,6.921427251846726,6.799119569291837
0.45,6.799119569291837,6.693635535344855
0.46,6.693635535344854,6.5957724129863
0.47000000000000003,6.5957724129863,6.5036131645870725
0.48,6.5036131645870725,6.389242019694726
0.49,6.389242019694725,6.294809312102736
0.5,6.2948093121027355,6.207701016575986
0.51,6.207701016575987,6.125757546058058
0.52,6.125757546058058,6.024023009443912
0.53,6.024023009443912,5.939933574318909
0.54,5.93993357431891,5.862264193097985
0.55,5.862264193097985,5.78909573275948
0.56,5.789095732759479,5.719572638062058
0.5700000000000001,5.719572638062058,5.632660097770328
0.58,5.63266009777033,5.560434472222173
0.59,5.560434472222173,5.493443262303776
0.6,5.493443262303774,5.430108766440498
0.61,5.4301087664404974,5.369739504560605
0.62,5.369739504560606,5.294039159737132
0.63,5.294039159737132,5.230947389441502
0.64,5.230947389441502,5.172276872561644
0.65,5.172276872561645,5.116676465147381
0.66,5.116676465147382,5.063560817398552
0.67,5.063560817398552,5.012584408850005
0.68,5.012584408850005,4.963509317823978
0.6900000000000001,4.963509317823977,4.9014786977333955
0.7000000000000001,4.9014786977333955,4.8494335733738545
0.71,4.8494335733738545,4.800774400434831
0.72,4.800774400434831,4.754446370829138
0.73,4.754446370829138,4.710005040581304
0.74,4.710005040581303,4.66719314187547
0.75,4.66719314187547,4.625835653362346
0.76,4.625835653362345,4.585801679893013
0.77,4.585801679893013,4.5469872563155205
0.78,4.5469872563155205,4.509306396679044
0.79,4.509306396679045,4.472685931459035
0.8,4.472685931459035,4.437062289687191
0.81,4.43706228968719,4.411159723766264
0.8200000000000001,4.411159723766264,4.381883010261344
0.8300000000000001,4.381883010261344,4.352200115848876
0.84,4.352200115848877,4.330163894938119
0.85,4.330163894938119,4.304921789639886
0.86,4.304921789639886,4.27906116795685
0.87,4.279061167956851,4.259711535040449
0.88,4.259711535040448,4.243138278154559
0.89,4.243138278154559,4.223385755133923
0.9,4.223385755133924,4.207969038241848
0.91,4.207969038241847,4.194473954818575
0.92,4.194473954818575,4.182366451707307
0.93,4.182366451707307,4.171370053286859
0.9400000000000001,4.171370053286858,4.161303951697243
0.9500000000000001,4.161303951697243,4.152036720286187
0.96,4.152036720286186,4.143467004987377
0.97,4.143467004987377,4.137712220661867
0.98,4.137712220661867,4.131516116876361
0.99,4.131516116876361,4.125498279958381
1.0,4.12549827995838,
